# 课文对话行的拼音 + 英文翻译（手工源，convert_texts.py 回灌到 lines[]）
# 格式: 汉字<TAB>拼音<TAB>英文  —— 按去重后的对话行（说话人已去掉）
# 拼音为 tone-marked，不/一 采用变调写法；数字读作汉字处已转拼音，电话号码保留原样。
# 目前覆盖 newhsk3 第 1 单元（试水）。
AI小语，你好！	AI Xiǎoyǔ, nǐ hǎo!	AI Xiaoyu, hello!
没关系，我坐公共汽车。	Méi guānxi, wǒ zuò gōnggòng qìchē.	It's fine, I'm taking the bus.
好的。再见。	Hǎo de. Zàijiàn.	Okay. Goodbye.
# --- 旧版 HSK3 (hsk-3) 前半 ---
周末你有什么打算？	Zhōumò nǐ yǒu shénme dǎsuàn?	What are your plans for the weekend?
我早就想好了，请你吃饭、看电影、喝咖啡。	Wǒ zǎo jiù xiǎnghǎo le, qǐng nǐ chī fàn, kàn diànyǐng, hē kāfēi.	I planned it long ago—I'll treat you to dinner, a movie, and coffee.
请我？	Qǐng wǒ?	Treat me?
是啊，我已经找好饭馆了，电影票也买好了。	Shì a, wǒ yǐjīng zhǎohǎo fànguǎn le, diànyǐngpiào yě mǎihǎo le.	Yes, I've already found a restaurant and bought the movie tickets.
我还没想好要不要跟你去呢。	Wǒ hái méi xiǎnghǎo yào bu yào gēn nǐ qù ne.	I haven't decided yet whether to go with you.
你一直玩儿电脑游戏，作业写完了吗？	Nǐ yìzhí wánr diànnǎo yóuxì, zuòyè xiěwán le ma?	You've been playing computer games nonstop—have you finished your homework?
都写完了。	Dōu xiěwán le.	All done.
明天不是有考试吗？你怎么一点儿也不着急？	Míngtiān bú shì yǒu kǎoshì ma? Nǐ zěnme yìdiǎnr yě bù zháojí?	Isn't there an exam tomorrow? How come you're not worried at all?
我早就复习好了。	Wǒ zǎo jiù fùxí hǎo le.	I finished reviewing long ago.
那也不能一直玩儿啊。	Nà yě bù néng yìzhí wánr a.	Still, you can't just keep playing.
下个月我去旅游，你能跟我一起去吗？	Xià ge yuè wǒ qù lǚyóu, nǐ néng gēn wǒ yìqǐ qù ma?	I'm traveling next month—can you come with me?
我还没想好呢。你觉得哪儿最好玩儿？	Wǒ hái méi xiǎnghǎo ne. Nǐ juéde nǎr zuì hǎowánr?	I haven't decided yet. Where do you think is the most fun?
南方啊，我们去年就是这个时候去的。	Nánfāng a, wǒmen qùnián jiù shì zhège shíhou qù de.	The south—we went at exactly this time last year.
南方太热了，北方好一些，不冷也不热。	Nánfāng tài rè le, běifāng hǎo yìxiē, bù lěng yě bú rè.	The south is too hot; the north is better—neither cold nor hot.
水果、面包、茶都准备好了，我们还带什么？	Shuǐguǒ, miànbāo, chá dōu zhǔnbèi hǎo le, wǒmen hái dài shénme?	The fruit, bread, and tea are all ready—what else should we bring?
手机、电脑、地图，一个也不能少。	Shǒujī, diànnǎo, dìtú, yí ge yě bù néng shǎo.	Phone, computer, map—we can't leave out a single one.
这些我昨天下午就准备好了。	Zhèxiē wǒ zuótiān xiàwǔ jiù zhǔnbèi hǎo le.	I got all this ready yesterday afternoon.
再多带几件衣服吧。	Zài duō dài jǐ jiàn yīfu ba.	Let's bring a few more clothes.
我们是去旅游，不是搬家，还是少带一些吧。	Wǒmen shì qù lǚyóu, bú shì bānjiā, háishi shǎo dài yìxiē ba.	We're going on a trip, not moving house—let's bring less.
休息一下吧。	Xiūxi yíxià ba.	Let's take a rest.
怎么了？	Zěnme le?	What's wrong?
我现在腿也疼，脚也疼。	Wǒ xiànzài tuǐ yě téng, jiǎo yě téng.	Now both my legs and feet hurt.
好，那边树多，我们过去坐一下吧。	Hǎo, nàbiān shù duō, wǒmen guòqu zuò yíxià ba.	Okay, there are lots of trees over there—let's go sit for a bit.
上来的时候我怎么没觉得这么累？	Shànglai de shíhou wǒ zěnme méi juéde zhème lèi?	Why didn't I feel this tired on the way up?
上山容易下山难，你不知道？	Shàng shān róngyì xià shān nán, nǐ bù zhīdào?	Going up is easy, coming down is hard—didn't you know?
喂，你好，请问周明在吗？	Wéi, nǐ hǎo, qǐngwèn Zhōu Míng zài ma?	Hello, is Zhou Ming there?
周经理出去了，不在办公室。	Zhōu jīnglǐ chūqu le, bú zài bàngōngshì.	Manager Zhou is out; he's not in the office.
他去哪儿了？什么时候回来？	Tā qù nǎr le? Shénme shíhou huílai?	Where did he go? When will he be back?
他出去办事了，下午回来。	Tā chūqu bànshì le, xiàwǔ huílai.	He went out on business; he'll be back in the afternoon.
回来了就让他给我打个电话。	Huílai le jiù ràng tā gěi wǒ dǎ ge diànhuà.	When he's back, have him give me a call.
好的，他到了办公室我就告诉他。	Hǎo de, tā dào le bàngōngshì wǒ jiù gàosu tā.	Okay, I'll tell him as soon as he gets to the office.
雨下得真大。你怎么回去？我送你吧。	Yǔ xià de zhēn dà. Nǐ zěnme huíqu? Wǒ sòng nǐ ba.	It's raining hard. How will you get back? Let me take you.
没事，我出去叫辆出租车就行了。	Méi shì, wǒ chūqu jiào liàng chūzūchē jiù xíng le.	It's fine, I'll just go out and hail a taxi.
那你等等，我上楼去给你拿把伞。	Nà nǐ děngdeng, wǒ shàng lóu qù gěi nǐ ná bǎ sǎn.	Then wait a moment—I'll go upstairs to get you an umbrella.
好的，我跟你一起上去吧。	Hǎo de, wǒ gēn nǐ yìqǐ shàngqu ba.	Okay, I'll go up with you.
你在这儿等吧，我拿了伞就下来。	Nǐ zài zhèr děng ba, wǒ ná le sǎn jiù xiàlai.	Wait here—I'll come right down once I get the umbrella.
你看，我这么胖，怎么办呢？	Nǐ kàn, wǒ zhème pàng, zěnme bàn ne?	Look, I'm so fat—what should I do?
你每天晚上吃了饭就睡觉，也不出去走走，能不胖吗？	Nǐ měi tiān wǎnshang chī le fàn jiù shuìjiào, yě bù chūqu zǒuzou, néng bú pàng ma?	You go to sleep right after dinner every night and never go out for a walk—how could you not get fat?
其实我每天都运动。	Qíshí wǒ měi tiān dōu yùndòng.	Actually, I exercise every day.
但是你一点儿也没瘦！你做什么运动了？	Dànshì nǐ yìdiǎnr yě méi shòu! Nǐ zuò shénme yùndòng le?	But you haven't gotten any thinner! What exercise did you do?
做饭啊。	Zuò fàn a.	Cooking.
明天是晴天还是阴天？	Míngtiān shì qíngtiān háishi yīntiān?	Will it be sunny or cloudy tomorrow?
阴天，电视上说多云。怎么了？有事？	Yīntiān, diànshì shàng shuō duōyún. Zěnme le? Yǒu shì?	Cloudy—the TV says overcast. What's up? Something wrong?
没事，我们明天要去爬山。	Méi shì, wǒmen míngtiān yào qù pá shān.	Nothing, we're going hiking tomorrow.
爬山的时候要小心点儿。	Pá shān de shíhou yào xiǎoxīn diǎnr.	Be careful when you hike.
好，你也去吗？	Hǎo, nǐ yě qù ma?	Okay, are you going too?
我不去，我有事。	Wǒ bú qù, wǒ yǒu shì.	I'm not going; I have things to do.
你觉得这条裤子怎么样？	Nǐ juéde zhè tiáo kùzi zěnmeyàng?	What do you think of these pants?
我记得你已经有两条这样的裤子了。	Wǒ jìde nǐ yǐjīng yǒu liǎng tiáo zhèyàng de kùzi le.	I remember you already have two pairs of pants like these.
那我们再看看别的。	Nà wǒmen zài kànkan biéde.	Then let's look at something else.
这件衬衫怎么样？	Zhè jiàn chènshān zěnmeyàng?	How about this shirt?
还不错，多少钱？	Hái búcuò, duōshao qián?	Not bad—how much?
这上面写着320元。	Zhè shàngmiàn xiězhe sānbǎi èrshí yuán.	It says 320 yuan here.
买一件。	Mǎi yí jiàn.	I'll buy one.
这些水果真新鲜，我们买西瓜还是苹果？	Zhèxiē shuǐguǒ zhēn xīnxiān, wǒmen mǎi xīguā háishi píngguǒ?	This fruit is really fresh—should we buy watermelon or apples?
西瓜吧。你看，这上面写着“西瓜不甜不要钱”。	Xīguā ba. Nǐ kàn, zhè shàngmiàn xiězhe "xīguā bù tián bú yào qián".	Watermelon. Look, it says "If the watermelon isn't sweet, it's free."
那我们买一个大点儿的吧。	Nà wǒmen mǎi yí ge dà diǎnr de ba.	Then let's buy a bigger one.
再买几个苹果。	Zài mǎi jǐ ge píngguǒ.	And buy a few apples too.
好啊，今天晚上只吃水果不吃饭！	Hǎo a, jīntiān wǎnshang zhǐ chī shuǐguǒ bù chī fàn!	Sure—tonight we'll eat only fruit, no rice!
桌子上放着很多饮料，你喝什么？	Zhuōzi shàng fàngzhe hěn duō yǐnliào, nǐ hē shénme?	There are lots of drinks on the table—what will you have?
茶或者咖啡都可以。你呢？你喝什么？	Chá huòzhě kāfēi dōu kěyǐ. Nǐ ne? Nǐ hē shénme?	Tea or coffee is fine. And you? What are you having?
我喝茶，茶是我的最爱。天冷了或者工作累了的时候，喝杯热茶会很舒服。	Wǒ hē chá, chá shì wǒ de zuì'ài. Tiān lěng le huòzhě gōngzuò lèi le de shíhou, hē bēi rè chá huì hěn shūfu.	I'll have tea—tea is my favorite. When it's cold or I'm tired from work, a cup of hot tea feels great.
你喜欢喝什么茶？	Nǐ xǐhuan hē shénme chá?	What kind of tea do you like?
花茶、绿茶、红茶，我都喜欢。	Huāchá, lǜchá, hóngchá, wǒ dōu xǐhuan.	Jasmine tea, green tea, black tea—I like them all.
这是你们比赛的照片吗？	Zhè shì nǐmen bǐsài de zhàopiàn ma?	Is this a photo from your competition?
是，这是我们比赛后照的。	Shì, zhè shì wǒmen bǐsài hòu zhào de.	Yes, we took it after the competition.
照得不错，你们都是一个年级的吗？	Zhào de búcuò, nǐmen dōu shì yí ge niánjí de ma?	Nicely taken—are you all in the same grade?
不是。那个又高又漂亮的女孩儿是二年级的。	Bú shì. Nàge yòu gāo yòu piàoliang de nǚháir shì èr niánjí de.	No. That tall, pretty girl is in the second grade.
旁边那个拿着书笑的人是谁？	Pángbiān nàge názhe shū xiào de rén shì shéi?	Who's the one next to her holding a book and smiling?
那是我！	Nà shì wǒ!	That's me!
你觉得小红怎么样？	Nǐ juéde Xiǎo Hóng zěnmeyàng?	What do you think of Xiao Hong?
她又聪明又热情，也很努力。	Tā yòu cōngming yòu rèqíng, yě hěn nǔlì.	She's smart and warm, and hardworking too.
我看她总是笑着回答老师的问题。	Wǒ kàn tā zǒngshì xiàozhe huídá lǎoshī de wèntí.	I've noticed she always answers the teacher's questions with a smile.
她对每个人都笑，也常常对我笑。	Tā duì měi ge rén dōu xiào, yě chángcháng duì wǒ xiào.	She smiles at everyone, and often smiles at me too.
你是不是喜欢她啊？	Nǐ shì bu shì xǐhuan tā a?	Do you like her?
喜欢她的人太多了，你看那些拿着鲜花站在门口的，都是等她的。	Xǐhuan tā de rén tài duō le, nǐ kàn nàxiē názhe xiānhuā zhàn zài ménkǒu de, dōu shì děng tā de.	Too many people like her—look at those holding flowers by the door; they're all waiting for her.
我有点儿饿了，我们进超市买点儿东西吧。	Wǒ yǒudiǎnr è le, wǒmen jìn chāoshì mǎi diǎnr dōngxi ba.	I'm a bit hungry—let's go into the supermarket and buy something.
好啊，这家超市的蛋糕又便宜又好吃，一块只要2.99元。	Hǎo a, zhè jiā chāoshì de dàngāo yòu piányi yòu hǎochī, yí kuài zhǐ yào 2.99 yuán.	Sure, this supermarket's cake is cheap and tasty—only 2.99 yuan a slice.
我们买两块，回家吃着蛋糕看电视，怎么样？	Wǒmen mǎi liǎng kuài, huí jiā chīzhe dàngāo kàn diànshì, zěnmeyàng?	Let's buy two slices and watch TV while eating cake at home—how's that?
好啊，我再去买一些喝的。	Hǎo a, wǒ zài qù mǎi yìxiē hē de.	Sure, I'll go buy some drinks too.
喝着咖啡吃蛋糕，太好了！	Hēzhe kāfēi chī dàngāo, tài hǎo le!	Eating cake while drinking coffee—wonderful!
您好！您找谁？	Nín hǎo! Nín zhǎo shéi?	Hello! Who are you looking for?
你们这儿是不是有一个又年轻又漂亮的服务员？	Nǐmen zhèr shì bu shì yǒu yí ge yòu niánqīng yòu piàoliang de fúwùyuán?	Do you have a young, pretty waitress here?
我们这儿年轻、漂亮的服务员有很多。	Wǒmen zhèr niánqīng, piàoliang de fúwùyuán yǒu hěn duō.	We have lots of young, pretty waitresses here.
她工作又认真又热情。	Tā gōngzuò yòu rènzhēn yòu rèqíng.	She works both conscientiously and warmly.
您能再说说吗？	Nín néng zài shuōshuo ma?	Could you say more?
她总是笑着跟客人说话。	Tā zǒngshì xiàozhe gēn kèrén shuōhuà.	She always talks to customers with a smile.
啊，我知道了，你说的是李小美吧？	À, wǒ zhīdào le, nǐ shuō de shì Lǐ Xiǎoměi ba?	Ah, I know—you mean Li Xiaomei, right?
我听说你身体不舒服，怎么了？	Wǒ tīngshuō nǐ shēntǐ bù shūfu, zěnme le?	I heard you're not feeling well—what's wrong?
前几天有点儿发烧，现在好多了。	Qián jǐ tiān yǒudiǎnr fāshāo, xiànzài hǎo duō le.	I had a slight fever a few days ago; I'm much better now.
喝杯茶吧，这是我为你买的绿茶，很不错。	Hē bēi chá ba, zhè shì wǒ wèi nǐ mǎi de lǜchá, hěn búcuò.	Have some tea—this is the green tea I bought for you; it's quite good.
谢谢，我要吃药，不喝茶了。	Xièxie, wǒ yào chī yào, bù hē chá le.	Thanks, but I have to take medicine, so no tea.
那喝杯水吧。	Nà hē bēi shuǐ ba.	Then have a glass of water.
对不起，我明天不能和你们出去玩儿了。	Duìbuqǐ, wǒ míngtiān bù néng hé nǐmen chūqu wánr le.	Sorry, I can't go out with you all tomorrow.
为什么？怎么了？	Wèishénme? Zěnme le?	Why? What happened?
我儿子生病了，我要在家照顾他。	Wǒ érzi shēngbìng le, wǒ yào zài jiā zhàogù tā.	My son is sick; I need to stay home and take care of him.
他吃药了吗？要不要去医院？	Tā chī yào le ma? Yào bu yào qù yīyuàn?	Has he taken medicine? Does he need to go to the hospital?
不用去医院，昨天吃了感冒药，现在好一些了。	Bú yòng qù yīyuàn, zuótiān chī le gǎnmào yào, xiànzài hǎo yìxiē le.	No need for the hospital; he took cold medicine yesterday and is a bit better now.
那我们下次再一起出去玩儿吧。	Nà wǒmen xià cì zài yìqǐ chūqu wánr ba.	Then let's go out together next time.
你最喜欢哪个季节？	Nǐ zuì xǐhuan nǎge jìjié?	Which season do you like best?
当然是春天，天气不那么冷了，草和树都绿了，花也开了。	Dāngrán shì chūntiān, tiānqì bú nàme lěng le, cǎo hé shù dōu lǜ le, huā yě kāi le.	Spring, of course—it's not so cold anymore, the grass and trees turn green, and the flowers bloom.
我最喜欢夏天，因为我可以穿漂亮的裙子了。	Wǒ zuì xǐhuan xiàtiān, yīnwèi wǒ kěyǐ chuān piàoliang de qúnzi le.	I like summer best, because I can wear pretty dresses.
那我也喜欢夏天了。	Nà wǒ yě xǐhuan xiàtiān le.	Then I like summer too.
怎么？你也有漂亮的裙子？	Zěnme? Nǐ yě yǒu piàoliang de qúnzi?	What? You have pretty dresses too?
不，我喜欢看你穿漂亮的裙子。	Bù, wǒ xǐhuan kàn nǐ chuān piàoliang de qúnzi.	No, I like watching you wear pretty dresses.
我最近越来越胖了。	Wǒ zuìjìn yuèláiyuè pàng le.	I've been getting fatter and fatter lately.
谁说的？我觉得你越来越漂亮了。	Shéi shuō de? Wǒ juéde nǐ yuèláiyuè piàoliang le.	Says who? I think you're getting prettier and prettier.
你看，这条裙子是去年买的，今年就不能穿了。	Nǐ kàn, zhè tiáo qúnzi shì qùnián mǎi de, jīnnián jiù bù néng chuān le.	Look, I bought this dress last year, and this year I can't wear it anymore.
那是因为你吃得太多了，少吃点儿吧。	Nà shì yīnwèi nǐ chī de tài duō le, shǎo chī diǎnr ba.	That's because you eat too much—eat a bit less.
我做的饭越来越好吃，我能少吃吗？	Wǒ zuò de fàn yuèláiyuè hǎochī, wǒ néng shǎo chī ma?	My cooking gets tastier and tastier—how can I eat less?
我的眼镜呢？怎么突然找不到了？你看见了吗？	Wǒ de yǎnjìng ne? Zěnme tūrán zhǎobudào le? Nǐ kànjiàn le ma?	Where are my glasses? How did they suddenly go missing? Have you seen them?
我没看见啊。	Wǒ méi kànjiàn a.	I haven't seen them.
我离不开眼镜，没有眼镜，我一个字也看不清楚。	Wǒ líbukāi yǎnjìng, méiyǒu yǎnjìng, wǒ yí ge zì yě kànbuqīngchu.	I can't do without my glasses—without them, I can't see a single character clearly.
你去房间找找，是不是刚才放在桌子上了？	Nǐ qù fángjiān zhǎozhao, shì bu shì gāngcái fàng zài zhuōzi shàng le?	Go look in the room—did you just put them on the table?
我怎么看得到啊？你快过来帮忙啊。	Wǒ zěnme kàndedào a? Nǐ kuài guòlai bāngmáng a.	How can I see anything? Come help me quick.
好吧，我帮你去找找。	Hǎo ba, wǒ bāng nǐ qù zhǎozhao.	All right, I'll go help you look.
今天的作业你做完了吗？	Jīntiān de zuòyè nǐ zuòwán le ma?	Have you finished today's homework?
刚做完，你呢？	Gāng zuòwán, nǐ ne?	Just finished—and you?
今天这些题特别难，我看不懂，不会做，你能帮我吗？	Jīntiān zhèxiē tí tèbié nán, wǒ kànbudǒng, bú huì zuò, nǐ néng bāng wǒ ma?	Today's questions are really hard—I can't understand them or do them. Can you help me?
电话里讲不明白，你来我家吧，我给你讲讲。	Diànhuà li jiǎng bu míngbai, nǐ lái wǒ jiā ba, wǒ gěi nǐ jiǎngjiang.	I can't explain it clearly over the phone—come to my place and I'll explain.
好啊，我锻炼完了就过去。	Hǎo a, wǒ duànliàn wán le jiù guòqu.	Sure, I'll come over once I finish exercising.
你怎么有点儿不高兴？	Nǐ zěnme yǒudiǎnr bù gāoxìng?	Why do you look a bit unhappy?
我想请小丽吃饭，但是找不到好饭馆。	Wǒ xiǎng qǐng Xiǎo Lì chī fàn, dànshì zhǎobudào hǎo fànguǎn.	I want to treat Xiao Li to dinner, but I can't find a good restaurant.
那你请她听音乐会吧，她喜欢听音乐。	Nà nǐ qǐng tā tīng yīnyuèhuì ba, tā xǐhuan tīng yīnyuè.	Then take her to a concert—she likes listening to music.
音乐会人太多，买不到票。	Yīnyuèhuì rén tài duō, mǎibudào piào.	Concerts are too crowded—I can't get tickets.
那去公园走走，聊聊天儿吧。	Nà qù gōngyuán zǒuzou, liáoliao tiānr ba.	Then go for a walk in the park and chat.
公园太大，多累啊。	Gōngyuán tài dà, duō lèi a.	The park is too big—how tiring.
你怎么还喝咖啡？	Nǐ zěnme hái hē kāfēi?	How come you're still drinking coffee?
你不是说晚上睡不着觉吗？	Nǐ bú shì shuō wǎnshang shuìbuzháo jiào ma?	Didn't you say you can't fall asleep at night?
没事，我只喝一杯。	Méi shì, wǒ zhǐ hē yì bēi.	It's fine, I'll only have one cup.
你还是喝杯牛奶吧，可以睡得更好些。	Nǐ háishi hē bēi niúnǎi ba, kěyǐ shuì de gèng hǎo xiē.	You'd better have a glass of milk—it'll help you sleep better.
好吧，牛奶呢？	Hǎo ba, niúnǎi ne?	Okay, where's the milk?
还没买呢。	Hái méi mǎi ne.	Haven't bought any yet.
那个漂亮的新同事是谁？	Nàge piàoliang de xīn tóngshì shì shéi?	Who's that pretty new colleague?
那是小丽。	Nà shì Xiǎo Lì.	That's Xiao Li.
她刚来北京吗？	Tā gāng lái Běijīng ma?	Did she just come to Beijing?
不，她在北京工作三年了。	Bù, tā zài Běijīng gōngzuò sān nián le.	No, she's worked in Beijing for three years.
以前她在哪儿工作？	Yǐqián tā zài nǎr gōngzuò?	Where did she work before?
她在银行工作了两年以后来的我们公司。	Tā zài yínháng gōngzuò le liǎng nián yǐhòu lái de wǒmen gōngsī.	She worked at a bank for two years and then joined our company.
周末你跟小丽去哪儿玩儿了？	Zhōumò nǐ gēn Xiǎo Lì qù nǎr wánr le?	Where did you and Xiao Li go over the weekend?
我们去唱歌了。	Wǒmen qù chànggē le.	We went singing.
你们唱了多久？	Nǐmen chàng le duōjiǔ?	How long did you sing?
我们唱了两个小时歌，晚上还去听音乐会了。	Wǒmen chàng le liǎng ge xiǎoshí gē, wǎnshang hái qù tīng yīnyuèhuì le.	We sang for two hours, and in the evening we went to a concert too.
你们都对音乐感兴趣吗？	Nǐmen dōu duì yīnyuè gǎn xìngqù ma?	Are you both interested in music?
她对音乐感兴趣，我对她更感兴趣。	Tā duì yīnyuè gǎn xìngqù, wǒ duì tā gèng gǎn xìngqù.	She's interested in music; I'm more interested in her.
我跟小丽下个月结婚，到时候欢迎你来。	Wǒ gēn Xiǎo Lì xià ge yuè jiéhūn, dào shíhou huānyíng nǐ lái.	Xiao Li and I are getting married next month—you're welcome to come.
什么？结婚？	Shénme? Jiéhūn?	What? Getting married?
对啊，突然吗？	Duì a, tūrán ma?	Yeah, is it sudden?
你们不是刚认识吗？	Nǐmen bú shì gāng rènshi ma?	Didn't you two just meet?
我跟她都认识五年了。	Wǒ gēn tā dōu rènshi wǔ nián le.	She and I have known each other for five years.
你跟她结婚，那我怎么办啊？	Nǐ gēn tā jiéhūn, nà wǒ zěnme bàn a?	If you marry her, then what about me?
你看看手表，怎么迟到了？	Nǐ kànkan shǒubiǎo, zěnme chídào le?	Look at your watch—how could you be late?
没迟到啊。	Méi chídào a.	I'm not late.
你不是说七点半来接我吗？你迟到了一刻钟。	Nǐ bú shì shuō qī diǎn bàn lái jiē wǒ ma? Nǐ chídào le yí kèzhōng.	Didn't you say you'd pick me up at 7:30? You're fifteen minutes late.
现在不是七点半吗？	Xiànzài bú shì qī diǎn bàn ma?	Isn't it 7:30 now?
已经差一刻八点了！我都在这儿坐了半个小时了。	Yǐjīng chà yí kè bā diǎn le! Wǒ dōu zài zhèr zuò le bàn ge xiǎoshí le.	It's already quarter to eight! I've been sitting here for half an hour.
不是我迟到了，是你的表快了一刻钟。	Bú shì wǒ chídào le, shì nǐ de biǎo kuài le yí kèzhōng.	I'm not late—your watch is fifteen minutes fast.
听说你最近打算买房子？	Tīngshuō nǐ zuìjìn dǎsuàn mǎi fángzi?	I heard you're planning to buy a house?
是，昨天去看了看，今天又去看了看，明天还要再去看看。	Shì, zuótiān qù kàn le kàn, jīntiān yòu qù kàn le kàn, míngtiān hái yào zài qù kànkan.	Yes—I went to look yesterday, looked again today, and will go look once more tomorrow.
都不满意吗？	Dōu bù mǎnyì ma?	Weren't any of them satisfactory?
一个没有电梯，不方便。一个有电梯，但是在二十层。	Yí ge méiyǒu diàntī, bù fāngbiàn. Yí ge yǒu diàntī, dànshì zài èrshí céng.	One had no elevator, which is inconvenient. One had an elevator but was on the twentieth floor.
二十层怎么了？	Èrshí céng zěnme le?	What's wrong with the twentieth floor?
太高了，往下看多害怕啊！	Tài gāo le, wǎng xià kàn duō hàipà a!	It's too high—looking down is so scary!
听说你下个星期就要回国了？	Tīngshuō nǐ xià ge xīngqī jiù yào huí guó le?	I heard you're going back to your country next week?
是啊，真不想离开北京。	Shì a, zhēn bù xiǎng líkāi Běijīng.	Yeah, I really don't want to leave Beijing.
我下星期不在北京，不能去机场送你了。	Wǒ xià xīngqī bú zài Běijīng, bù néng qù jīchǎng sòng nǐ le.	I won't be in Beijing next week, so I can't see you off at the airport.
没关系，你忙吧。	Méi guānxi, nǐ máng ba.	It's fine, go do your thing.
这个小熊猫送给你，欢迎你以后再到中国来。	Zhège xiǎo xióngmāo sòng gěi nǐ, huānyíng nǐ yǐhòu zài dào Zhōngguó lái.	This little panda is for you—you're welcome to come back to China anytime.
谢谢。希望以后能再见面。	Xièxie. Xīwàng yǐhòu néng zài jiànmiàn.	Thank you. I hope we can meet again.
小刚，我们坐哪儿？	Xiǎo Gāng, wǒmen zuò nǎr?	Xiao Gang, where should we sit?
你坐哪儿我就坐哪儿。	Nǐ zuò nǎr wǒ jiù zuò nǎr.	Wherever you sit, I'll sit.
坐这儿吧，这儿安静。你想喝什么饮料？	Zuò zhèr ba, zhèr ānjìng. Nǐ xiǎng hē shénme yǐnliào?	Let's sit here—it's quiet. What would you like to drink?
你喝什么我就喝什么。	Nǐ hē shénme wǒ jiù hē shénme.	Whatever you drink, I'll drink.
喝可乐吧。你等我一会儿，我马上回来。	Hē kělè ba. Nǐ děng wǒ yíhuìr, wǒ mǎshàng huílai.	Let's have cola. Wait a moment—I'll be right back.
小丽，你去哪儿？你去哪儿我就去哪儿。	Xiǎo Lì, nǐ qù nǎr? Nǐ qù nǎr wǒ jiù qù nǎr.	Xiao Li, where are you going? Wherever you go, I'll go.
我去洗手间。	Wǒ qù xǐshǒujiān.	I'm going to the restroom.
快五年了，你几乎没变化。	Kuài wǔ nián le, nǐ jīhū méi biànhuà.	It's been almost five years, and you've hardly changed.
谁说的？我胖了，以前的衣服都不能穿了。	Shéi shuō de? Wǒ pàng le, yǐqián de yīfu dōu bù néng chuān le.	Says who? I've gotten fat—none of my old clothes fit anymore.
健康最重要，胖瘦没关系。	Jiànkāng zuì zhòngyào, pàng shòu méi guānxi.	Health matters most; fat or thin doesn't matter.
是呀，想吃什么就吃什么。	Shì ya, xiǎng chī shénme jiù chī shénme.	Right—eat whatever you want.
你做饭还是周明做饭？	Nǐ zuò fàn háishi Zhōu Míng zuò fàn?	Do you cook, or does Zhou Ming?
我做，我想吃什么就做什么，想吃多少就做多少。	Wǒ zuò, wǒ xiǎng chī shénme jiù zuò shénme, xiǎng chī duōshao jiù zuò duōshao.	I do—I make whatever I want to eat, and as much as I want.
马可，你的中文越说越好了！	Mǎkě, nǐ de Zhōngwén yuè shuō yuè hǎo le!	Marco, your Chinese gets better the more you speak it!
哪里哪里，我们班李静说得更好。	Nǎli nǎli, wǒmen bān Lǐ Jìng shuō de gèng hǎo.	You're too kind—Li Jing in our class speaks even better.
怎么好？	Zěnme hǎo?	How so?
她的汉语说得跟中国人一样好。	Tā de Hànyǔ shuō de gēn Zhōngguórén yíyàng hǎo.	She speaks Chinese as well as a native.
李静？我怎么没听说过这个名字？	Lǐ Jìng? Wǒ zěnme méi tīngshuōguo zhège míngzi?	Li Jing? How come I've never heard that name?
她是我们的汉语老师。	Tā shì wǒmen de Hànyǔ lǎoshī.	She's our Chinese teacher.
别吃了，你已经吃了三块蛋糕了。	Bié chī le, nǐ yǐjīng chī le sān kuài dàngāo le.	Stop eating—you've already had three slices of cake.
这是最后一块。	Zhè shì zuìhòu yí kuài.	This is the last slice.
你总是吃甜的东西，会越吃越胖。	Nǐ zǒngshì chī tián de dōngxi, huì yuè chī yuè pàng.	You always eat sweets—you'll get fatter the more you eat.
你放心，我一定不会变胖。	Nǐ fàngxīn, wǒ yídìng bú huì biàn pàng.	Don't worry, I definitely won't get fat.
我们家的人都很瘦，吃不胖。	Wǒmen jiā de rén dōu hěn shòu, chī bu pàng.	Everyone in my family is thin—we can't gain weight.
我有点儿害怕。	Wǒ yǒudiǎnr hàipà.	I'm a little scared.
山越高，路越难走。我也越爬越冷。	Shān yuè gāo, lù yuè nán zǒu. Wǒ yě yuè pá yuè lěng.	The higher the mountain, the harder the path. I'm also getting colder the more I climb.
不用担心，有我呢，我对这儿比较了解。	Bú yòng dānxīn, yǒu wǒ ne, wǒ duì zhèr bǐjiào liǎojiě.	Don't worry, I'm here—I know this place fairly well.
那我们先休息一下，一会儿再爬。	Nà wǒmen xiān xiūxi yíxià, yíhuìr zài pá.	Then let's rest first and climb again in a bit.
好，一会儿我们可以从中间这条路上去。	Hǎo, yíhuìr wǒmen kěyǐ cóng zhōngjiān zhè tiáo lù shàngqu.	Okay, in a bit we can go up via this middle path.
小明，你的眼睛怎么跟大熊猫一样了？	Xiǎo Míng, nǐ de yǎnjing zěnme gēn dà xióngmāo yíyàng le?	Xiao Ming, why do your eyes look like a panda's?
我这几天脚疼，没休息好。	Wǒ zhè jǐ tiān jiǎo téng, méi xiūxi hǎo.	My feet have hurt these past few days, and I haven't rested well.
去医院了吗？医生说什么？	Qù yīyuàn le ma? Yīshēng shuō shénme?	Did you go to the hospital? What did the doctor say?
他让我多休息。休息得越多，好得越快。	Tā ràng wǒ duō xiūxi. Xiūxi de yuè duō, hǎo de yuè kuài.	He told me to rest more. The more I rest, the faster I'll recover.
# --- 旧版 HSK3 (hsk-3) 后半 上 ---
